Name,Category,Product,Manufacturer,Part #,Price,Storage Conditions,Link
15 mL spin filters (3 kDa cutoff),Consumables,Amicon® Ultra Centrifugal Filter 3 kDa MWCO,Millipore Sigma,UFC9003,$125,4C to 30C,https://www.sigmaaldrich.com/US/en/product/mm/ufc9003
0.5 mL spin filters (3 kDa cutoff),Consumables,Amicon® Ultra Centrifugal Filter 3 kDa MWCO,Millipore Sigma,UFC5003,$63,4C to 30C,https://www.sigmaaldrich.com/US/en/product/mm/ufc5003
